WT #1 (1) Area	WT #1 (2) Area	KO #1 (3) Area	KO #1 (4) Area	WT #2 (5) Area	WT #2 (6) Area	KO #2 (7) Area	KO #2 (8) Area	MIXC57 #3 (9) Area	MIXC57 #3 (10) Area	MIXKO #3 (11) Area	MIXKO #3 (12) Area	C: Student's T-test Significant KO #1 Female_WT #1 Female	N: Log2 (KO #1 Female/WT #1 Female)	N: -Log p-value (KO #1 Female/WT #1 Female)	N: Log2 (KO #2 Male/WT #2 Male)	N: -Log p-value (KO #2 Male/WT #2 Male)	N: Log2 (MIXKO/MIXWT)	N: -Log p-value (MIXKO/MIXWT)	T: Protein Group	T: Protein ID	T: Accession	T: Significance	T: Coverage (%)	T: #Peptides	T: #Unique	T: PTM	T: Avg. Mass	T: Description
22,019	20,5545	19,8682	22,6562	18,1704	19,4616	22,2621	22,4576	21,8152	21,8423	22,6736	23,239		-0,0245752	0,00481907	3,54389	1,49059	1,12754	1,23943	552	1107	P62751|RL23A_MOUSE	25,28	24	4	4		17695	Large ribosomal subunit protein uL23 OS=Mus musculus OX=10090 GN=Rpl23a PE=1 SV=1
28,995	29,249	29,4314	31,8901	29,1747	29,027	29,4234	29,8726	28,9428	29,066	28,995	29,4995		1,53879	0,469544	0,547165	0,833524	0,242849	0,348302	57	307	Q921I1|TRFE_MOUSE	21,12	25	40	35	"Carbamidomethylation;Deamidation (NQ);Phosphorylation (STY);Acetylation (N-term)"	76724	Serotransferrin OS=Mus musculus OX=10090 GN=Tf PE=1 SV=1
18,1206	20,7389	14,4032	15,6722	21,343	21,0493	21,5638	20,7553	19,7955	15,4645	20,654	20,8346		-4,39206	1,02488	-0,0365515	0,0268642	3,1143	0,541682	546	999	Q9WU78|PDC6I_MOUSE	17,59	5	3	3	Carbamidomethylation	96024	Programmed cell death 6-interacting protein OS=Mus musculus OX=10090 GN=Pdcd6ip PE=1 SV=3
25,4984	24,275	24,5638	23,7995	24,6649	23,9406	23,5285	23,5983	20,9951	21,0625	23,2535	23,7796		-0,705029	0,365099	-0,739326	0,746584	2,48775	1,95183	472	1099	tr|Q29ZQ5|Q29ZQ5_MOUSE	16,02	10	6	6	"Deamidation (NQ);Oxidation (M)"	23808	Myelin-oligodendrocyte glycoprotein OS=Mus musculus OX=10090 GN=Mog PE=1 SV=1
25,4984	24,275	24,5638	23,7995	24,6649	23,9406	23,5285	23,5983	20,9951	21,0625	23,2535	23,7796		-0,705029	0,365099	-0,739326	0,746584	2,48775	1,95183	472	1109	Q61885|MOG_MOUSE	16,02	9	6	6	"Deamidation (NQ);Oxidation (M)"	28271	Myelin-oligodendrocyte glycoprotein OS=Mus musculus OX=10090 GN=Mog PE=1 SV=1
25,4984	24,275	24,5638	23,7995	24,6649	23,9406	23,5285	23,5983	20,9951	21,0625	23,2535	23,7796		-0,705029	0,365099	-0,739326	0,746584	2,48775	1,95183	472	1110	tr|Q3UY21|Q3UY21_MOUSE	16,02	9	6	6	"Deamidation (NQ);Oxidation (M)"	28374	Myelin-oligodendrocyte glycoprotein OS=Mus musculus OX=10090 GN=Mog PE=1 SV=1
18,6168	18,6766	16,4455	14,8486	18,3277	17,92	16,448	16,1033	15,68	18,8876	18,6347	19,2372		-2,99967	1,19253	-1,84822	1,69395	1,65213	0,378931	818	1461	Q64514|TPP2_MOUSE	15,92	3	3	3	Carbamidomethylation	139878	Tripeptidyl-peptidase 2 OS=Mus musculus OX=10090 GN=Tpp2 PE=1 SV=3
18,6168	18,6766	14,6	15,1974	18,3277	17,92	16,448	16,1033	15,68	18,8876	18,6347	19,2372		-3,74801	2,19708	-1,84822	1,69395	1,65213	0,378931	818	1466	tr|A0A087WRC0|A0A087WRC0_MOUSE	15,92	5	3	3	Carbamidomethylation	96814	Tripeptidyl-peptidase 2 OS=Mus musculus OX=10090 GN=Tpp2 PE=1 SV=1
18,6168	18,6766	13,9799	16,4592	18,3277	17,92	16,448	16,1033	16,2122	17,3495	15,1966	17,8175		-3,42719	0,95951	-1,84822	1,69395	-0,273819	0,0626374	818	2018	tr|Q05DJ9|Q05DJ9_MOUSE	15,92	3	2	2	Carbamidomethylation	65554	Tpp2 protein OS=Mus musculus OX=10090 GN=Tpp2 PE=1 SV=1
20,1704	18,5842	19,778	18,4375	20,1946	20,895	18,786	17,8787	18,7106	17,5127	17,5356	17,2512		-0,269551	0,0864725	-2,2125	1,21453	-0,718235	0,439336	505	965	P82198|BGH3_MOUSE	15,83	6	3	3	Carbamidomethylation	74597	Transforming growth factor-beta-induced protein ig-h3 OS=Mus musculus OX=10090 GN=Tgfbi PE=1 SV=1
21,6051	21,4726	22,1612	23,0838	21,654	21,9459	22,1612	22,2036	19,5601	20,0951	22,4501	23,0207		1,0836	0,83677	0,382395	0,913306	2,90783	1,75419	523	1112	Q6W5C0|CXCL3_MOUSE	15,49	50	3	3	Carbamidomethylation	10686	C-X-C motif chemokine 3 OS=Mus musculus OX=10090 GN=Cxcl3 PE=2 SV=1
27,4314	27,6527	26,8623	28,4976	27,6798	28,1214	27,3992	27,6798	26,533	26,4008	28,019	28,459		0,137924	0,0542273	-0,36111	0,520681	1,77215	1,7854	66	368	P08905|LYZ2_MOUSE	13,31	68	19	19	"Carbamidomethylation;Deamidation (NQ);Oxidation (M);Acetylation (N-term)"	16689	Lysozyme C-2 OS=Mus musculus OX=10090 GN=Lyz2 PE=1 SV=2
18,8144	20,8651	18,8936	18,7039	20,1206	20,5261	20,2535	20,0292	17,8113	18,3012	20,3101	20,8576		-1,04105	0,378362	-0,182022	0,288687	2,5276	1,68879	657	1512	P60867|RS20_MOUSE	12,9	23	3	3		13373	Small ribosomal subunit protein uS10 OS=Mus musculus OX=10090 GN=Rps20 PE=1 SV=1
23,6971	22,2989	19,7796	19,7056	19,9882	21,4626	24,0609	21,4775	23,0071	22,7056	20,953	23,867		-3,25546	1,36387	2,0438	0,518403	-0,446294	0,10271	555	1350	Q9ERU9|RBP2_MOUSE	12,87	2	4	4	Deamidation (NQ)	341122	E3 SUMO-protein ligase RanBP2 OS=Mus musculus OX=10090 GN=Ranbp2 PE=1 SV=2
25,7619	25,2096	25,5812	26,038	24,5812	25,1565	24,7645	24,5404	25,0148	25,2856	26,4024	26,2002		0,323853	0,33576	-0,216441	0,25505	1,15114	1,68032	40	505	tr|Q91VB8|Q91VB8_MOUSE	12,76	64	23	23	Deamidation (NQ)	15112	Alpha globin 1 OS=Mus musculus OX=10090 GN=Hba-a1 PE=1 SV=1
21,0691	21,5498	21,7594	19,9601	21,2185	20,85	18,9431	17,7273	20,7389	21,0224	20,7223	20,4972		-0,449677	0,169506	-2,699	1,29099	-0,27092	0,563571	474	1371	Q9R1T2|SAE1_MOUSE	12,72	11	3	3	Deamidation (NQ)	38620	SUMO-activating enzyme subunit 1 OS=Mus musculus OX=10090 GN=Sae1 PE=1 SV=1
18,6488	15,8989	17,8423	19,2855	20,6006	21,7348	16,3443	17,9601	18,4211	17,528	18,9345	20,7715		1,29005	0,306733	-4,01548	1,2561	1,87842	0,683481	643	1328	Q91V92|ACLY_MOUSE	12,47	3	3	3		119728	ATP-citrate synthase OS=Mus musculus OX=10090 GN=Acly PE=1 SV=1
18,6488	15,8989	17,8423	19,2855	20,6006	21,7348	16,3443	17,9601	18,4211	17,528	18,9345	20,7715		1,29005	0,306733	-4,01548	1,2561	1,87842	0,683481	643	1329	tr|Q3V117|Q3V117_MOUSE	12,47	3	3	3		120795	ATP-citrate synthase OS=Mus musculus OX=10090 GN=Acly PE=1 SV=1
21,0625	22,0854	19,7504	18,1155	21,8346	21,7013	19,2279	21,6671	20,1581	19,5805	22,3725	22,0789		-2,64096	0,952884	-1,32049	0,405967	2,35641	1,73559	406	1043	P63254|CRIP1_MOUSE	12,26	53	4	4	Carbamidomethylation	8550	Cysteine-rich protein 1 OS=Mus musculus OX=10090 GN=Crip1 PE=1 SV=2
21,0625	22,0854	19,7504	18,1155	21,8346	21,7013	19,2279	21,6671	20,1581	19,5805	22,3725	22,0789		-2,64096	0,952884	-1,32049	0,405967	2,35641	1,73559	406	1046	tr|A0A0G2JEK2|A0A0G2JEK2_MOUSE	12,26	32	4	4	Carbamidomethylation	13582	Cysteine-rich protein 1 (intestinal) OS=Mus musculus OX=10090 GN=Crip1 PE=1 SV=1
17,5507	19,0873	18,6276	20,6006	21,8034	22,2933	21,5823	21,2125	19,1704	15,3236	19,7667	21,265		1,29505	0,38812	-0,650946	0,774701	3,26884	0,594967	454	1314	P80317|TCPZ_MOUSE	12,14	9	3	3	Deamidation (NQ)	58004	T-complex protein 1 subunit zeta OS=Mus musculus OX=10090 GN=Cct6a PE=1 SV=3
17,5507	19,0873	18,6276	20,6006	21,8034	22,2933	21,5823	21,2125	19,1704	14,6564	19,7667	21,265		1,29505	0,38812	-0,650946	0,774701	3,60246	0,570208	454	1315	tr|Q52KG9|Q52KG9_MOUSE	12,14	9	3	3	Deamidation (NQ)	58076	chaperonin containing Tcp1  subunit 6A (Zeta) OS=Mus musculus OX=10090 GN=Cct6a PE=1 SV=1
22,0224	20,7056	20,4476	19,597	20,0156	20,9024	19,0612	18,3667	20,002	20,0156	22,1363	22,3073		-1,34172	0,640011	-1,7451	1,04444	2,21302	2,82441	563	1071	Q99MR6|SRRT_MOUSE	12,04	4	3	3		100452	Serrate RNA effector molecule homolog OS=Mus musculus OX=10090 GN=Srrt PE=1 SV=1
25,0401	24,317	22,6276	22,9654	23,654	23,8288	23,9584	23,6971	23,0258	23,2679	22,9171	23,2961		-1,88205	1,37532	0,0863142	0,195177	-0,0402241	0,0582303	143	131	P09103|PDIA1_MOUSE	11,41	34	17	17	"Carbamidomethylation;Deamidation (NQ)"	57059	Protein disulfide-isomerase OS=Mus musculus OX=10090 GN=P4hb PE=1 SV=2
25,8717	25,0443	24,7024	22,3672	25,317	25,1757	24,3307	21,3321	24,7492	24,5812	24,9539	24,4676		-1,9232	0,583819	-2,41492	0,603954	0,0455904	0,0576636	228	664	O88593|PGRP1_MOUSE	11,35	38	9	9	Carbamidomethylation	20489	Peptidoglycan recognition protein 1 OS=Mus musculus OX=10090 GN=Pglyrp1 PE=1 SV=1
23,5165	22,7715	22,1612	21,5165	22,6074	22,741	21,1015	21,6584	21,6364	22,5285	21,5069	22,3156		-1,30519	0,928875	-1,29424	1,34077	-0,171222	0,0953679	417	604	P62918|RL8_MOUSE	11,32	25	7	7	Carbamidomethylation	28025	Large ribosomal subunit protein uL2 OS=Mus musculus OX=10090 GN=Rpl8 PE=1 SV=2
18,2741	17,9258	18,2696	15,9992	19,9024	20,002	16,0012	14,1554	16,2677	13,7628	15,1607	16,2137		-0,965588	0,310706	-4,87389	1,46686	0,671944	0,173998	405	1030	Q9JL35|HMGN5_MOUSE	11,14	12	2	2	Deamidation (NQ)	45344	High mobility group nucleosome-binding domain-containing protein 5 OS=Mus musculus OX=10090 GN=Hmgn5 PE=1 SV=2
19,5713	20,4676	18,6971	21,1825	21,1269	22,1047	20,8269	19,4756	17,4415	20,4874	21,2707	21,7876		-0,0796261	0,0188983	-1,46459	0,655319	2,56468	0,622094	527	1862	tr|D3Z4X1|D3Z4X1_MOUSE	11,12	24	3	3	Deamidation (NQ)	18667	6-phosphogluconolactonase OS=Mus musculus OX=10090 GN=Pgls PE=1 SV=1
19,5713	20,4676	18,6971	21,1825	21,1269	22,1047	20,8269	19,4756	17,4415	20,4874	21,2707	21,7876		-0,0796261	0,0188983	-1,46459	0,655319	2,56468	0,622094	527	1863	tr|Q8CBG6|Q8CBG6_MOUSE	11,12	20	3	3	Deamidation (NQ)	22663	6-phosphogluconolactonase OS=Mus musculus OX=10090 GN=Pgls PE=1 SV=1
19,5713	20,4676	18,6971	21,1825	21,1269	22,1047	20,8269	19,4756	17,4415	20,4874	21,2707	21,7876		-0,0796261	0,0188983	-1,46459	0,655319	2,56468	0,622094	527	1864	Q9CQ60|6PGL_MOUSE	11,12	16	3	3	Deamidation (NQ)	27254	6-phosphogluconolactonase OS=Mus musculus OX=10090 GN=Pgls PE=1 SV=1
20,0292	16,7207	18,5582	15,624	20,6886	21,5213	20,6276	20,3962	19,3731	18,3794	20,2185	20,5915		-1,28381	0,207465	-0,593062	0,517722	1,52874	0,989965	480	973	Q9D8B3|CHM4B_MOUSE	10,78	23	4	4		24936	Charged multivesicular body protein 4b OS=Mus musculus OX=10090 GN=Chmp4b PE=1 SV=2
24,5522	23,4298	23,0309	22,0658	22,7533	22,7182	21,5592	21,9495	22,4775	22,3805	22,155	22,2933		-1,44266	0,71991	-0,981389	1,42448	-0,20484	0,865684	154	99	Q61316|HSP74_MOUSE	10,63	25	16	15	"Carbamidomethylation;Deamidation (NQ)"	94133	Heat shock 70 kDa protein 4 OS=Mus musculus OX=10090 GN=Hspa4 PE=1 SV=1
24,5522	23,4298	23,0309	22,0658	22,7533	22,7182	21,5592	21,9495	22,4775	22,3805	22,155	22,2933		-1,44266	0,71991	-0,981389	1,42448	-0,20484	0,865684	154	100	tr|Q3U2G2|Q3U2G2_MOUSE	10,63	25	16	15	"Carbamidomethylation;Deamidation (NQ)"	94209	Heat shock 70 kDa protein 4 OS=Mus musculus OX=10090 GN=Hspa4 PE=1 SV=1
20,9024	19,8207	19,0506	19,0821	21,5404	21,4626	19,547	19,8697	19,9258	20,4273	18,4775	16,1134		-1,29518	0,856828	-1,79318	2,07279	-2,88107	0,854122	692	1581	P28293|CATG_MOUSE	10,35	8	2	2	"Carbamidomethylation;Oxidation (M)"	29096	Cathepsin G OS=Mus musculus OX=10090 GN=Ctsg PE=1 SV=2
19,9459	19,719	16,8606	19,0156	21,3045	21,4425	18,1556	19,9098	17,6523	17,0638	17,8787	18,7106		-1,89435	0,652664	-2,34084	0,931874	0,936596	0,68315	456	1088	P32020|SCP2_MOUSE	10,29	6	4	4		59126	Sterol carrier protein 2 OS=Mus musculus OX=10090 GN=Scp2 PE=1 SV=3
21,2764	21,7389	19,185	17,8484	22,0756	21,953	21,4825	21,4118	21,0088	21,3752	21,0493	21,5117		-2,99097	1,28727	-0,567181	1,8182	0,0884953	0,101005	368	747	Q99L45|IF2B_MOUSE	10,24	20	4	4		38092	Eukaryotic translation initiation factor 2 subunit 2 OS=Mus musculus OX=10090 GN=Eif2s2 PE=1 SV=1
25,6264	26,0464	25,8576	26,341	24,9271	25,0732	25,4138	25,0105	26,0041	26,3477	26,4266	26,8858		0,262863	0,302851	0,212036	0,36956	0,480277	0,627212	69	185	tr|A8DUK4|A8DUK4_MOUSE	10,23	86	27	17	"Carbamidomethylation;Deamidation (NQ);Oxidation (M)"	15748	Beta-globin OS=Mus musculus OX=10090 GN=Hbb-bs PE=1 SV=1
20,6364	19,7537	20,6971	17,1752	19,624	16,68	11,1033	18,1104	19,3321	15,154	17,4415	19,2113		-1,25889	0,252017	-3,54515	0,3474	1,08337	0,167435	70	384	Q8CGP5|H2A1F_MOUSE	10,13	72	24	2	Deamidation (NQ)	14162	Histone H2A type 1-F OS=Mus musculus OX=10090 GN=Hist1h2af PE=1 SV=3
20,002	18,7955	17,1752	20,343	19,8651	19,9258	19,3773	19,3189	17,1257	17,4496	20,1704	19,8484		-0,639617	0,129497	-0,547351	2,23213	2,72176	2,15705	712	1204	Q9JHS9|CWC15_MOUSE	10,11	15	3	3	Acetylation (N-term)	26624	Spliceosome-associated protein CWC15 homolog OS=Mus musculus OX=10090 GN=Cwc15 PE=1 SV=1
20,002	18,7955	17,1752	20,343	19,8651	19,9258	19,3773	19,3189	17,1257	17,4496	20,1704	19,8484		-0,639617	0,129497	-0,547351	2,23213	2,72176	2,15705	712	1206	tr|A0A1L1SVD8|A0A1L1SVD8_MOUSE	10,11	44	3	3	Acetylation (N-term)	9174	Spliceosome-associated protein CWC15 homolog (Fragment) OS=Mus musculus OX=10090 GN=Cwc15 PE=1 SV=1
24,317	24,1795	23,7695	25,1095	24,8385	24,9847	24,3975	24,0772	22,6253	23,5754	23,5285	24,4551		0,191251	0,0952105	-0,674175	1,20815	0,891438	0,506849	184	316	tr|Q8C253|Q8C253_MOUSE	10,07	38	10	10	"Carbamidomethylation;Oxidation (M)"	27415	Galectin OS=Mus musculus OX=10090 GN=Lgals3 PE=1 SV=1
24,317	24,1795	23,7695	25,1095	24,8385	24,9847	24,3975	24,0772	22,6253	23,5754	23,5285	24,4551		0,191251	0,0952105	-0,674175	1,20815	0,891438	0,506849	184	317	P16110|LEG3_MOUSE	10,07	38	10	10	"Carbamidomethylation;Oxidation (M)"	27515	Galectin-3 OS=Mus musculus OX=10090 GN=Lgals3 PE=1 SV=3
21,391	21,1765	21,6497	20,5915	22,7614	22,4726	20,8269	19,9742	22,0691	21,7955	21,4676	21,9134		-0,163154	0,101815	-2,21646	1,41056	-0,241769	0,344057	267	334	Q9R111|GUAD_MOUSE	10,01	20	8	8	Carbamidomethylation	51013	Guanine deaminase OS=Mus musculus OX=10090 GN=Gda PE=1 SV=1
23,8764	24,3101	23,2302	24,6096	24,6703	24,5522	24,2021	23,5754	22,3511	22,7895	23,3101	24,2096		-0,17332	0,0794222	-0,722485	0,819083	1,18949	0,852143	117	167	P35700|PRDX1_MOUSE	9,96	66	14	14	"Carbamidomethylation;Deamidation (NQ);Oxidation (M)"	22176	Peroxiredoxin-1 OS=Mus musculus OX=10090 GN=Prdx1 PE=1 SV=1
